interview__key,interview__id,land_parcels__id,i01_3,i02__0,i02__1,i02__2,i02__3,i02__4,i02__5,i02__6,i02__7,i03,i04,i05,i06,i07__1,i07__2,i07__3,i07__4,i07__5,i07__6,i07__7,i07__8,i07__9,i07__10,i07__11,i07__96,i08,i09,i10,i11,i12,i13
87-95-48-19,4fe6aea908d0463bb22be1f9abe7e5e2,1,Purchased,1.0,,,,,,,,Nyandarua,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
03-92-24-19,93b93bdc3a204bd79b5f70aa202b02f2,1,Purchased,1.0,,,,,,,,Makueni,Private,Freehold,Title deed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
10-44-78-12,76915eb37d1a4b1986a5c006f478d1b6,1,Inherited,1.0,,,,,,,,Kiambu,Private,Freehold,Title deed,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
05-55-97-43,aa576985f3384548abb055007a6a5017,1,Inherited,1.0,,,,,,,,Siaya,Private,Freehold,Title deed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
85-84-80-66,2321980ad8be40d0b47b2e45a514ea07,1,Inherited,1.0,,,,,,,,Busia,Community land,Customary,Don't Know,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don't Know,,Yes,,Not at all Likely,
58-54-49-88,af86f228f5c74098b4976b5f4f181334,1,Inherited,6.0,,,,,,,,Migori,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
88-60-06-75,313a487e051141c98dee576362daf312,1,Inherited,1.0,,,,,,,,Kitui,Private,Freehold,None,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,Relative,No,Relative,Not at all Likely,
94-83-24-53,251c6f92ad9f4486ae8535352a364179,1,Inherited,1.0,,,,,,,,Busia,Private,Customary,Allotment letters,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Intra-family
05-55-39-64,d2526e41f3ef46868f90c82647fd298a,1,Purchased,1.0,,,,,,,,Elgeyo-Marakwet,Private,Freehold,Title deed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Moderately Likely,Intra-family
62-64-30-11,9e1585529af9410a84b6e4ea29f00e10,1,Purchased,1.0,,,,,,,,Garissa,Community land,Customary,Allotment letters,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,,Yes,,Not at all Likely,
