interview__key,interview__id,nm00,nema1a,nema1b,nema2a,nema2b,nema4__1,nema4__2,nema4__3,nema4__4,nema4__5,nema4__6,nema4__7,nema4__96,nema4_others,nema5__1,nema5__2,nema5__3,nema5__4,nema5__5,nema5__96,nema5_others,nema6,nema7_1,nema7_2__0,nema7_2__0c,nema8__1,nema8__2,nema8__3,nema8__4,nema8__5,nema8__6,nema8__7,nema8__96,nema8_others,nema9__1,nema9__2,nema9__3,nema9__4,nema9__5,nema9__6,nema9__7,nema9__96,nema9_others
16-82-50-12,ffa7297c850d4e6187348c7fa5b7952a,Baringo,30.0,44.0,25.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,,13.0,Yes,,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
07-52-57-35,d8ee40a726a44165b8e32cac63d7f566,Kiambu,449.0,287.0,303.0,243.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,30.0,Yes,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,communications of issues
98-98-95-22,37a7831b9bda44f3bc7d655b394c17ad,Tharaka-Nithi,46.0,54.0,41.0,41.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,13.0,Yes,,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
01-69-70-67,fc1b7337827443daaff2a5fd3eae2c8f,Elgeyo-Marakwet,22.0,45.0,21.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,13.0,Yes,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
79-33-55-66,56082372b3d2485fab3ee7598f2cdfd6,Murang'a,135.0,90.0,125.0,72.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,1.0,1.0,0.0,,17.0,Yes,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,
12-65-68-29,9b65964a884c4b57a8b5af641461ec47,Marsabit,13.0,18.0,12.0,14.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,Yes,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
12-75-09-16,38a59580e76c4188ad35bf4ae7805359,Siaya,58.0,50.0,46.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,compliance with other relevant legislation,0.0,0.0,0.0,0.0,0.0,1.0,"EIA License e application fee which is Sh.10,000 each",5.0,Yes,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
78-48-75-90,420f882583014812bdb8cbaf4eebbedb,Embu,169.0,151.0,131.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,category of risk,1.0,1.0,1.0,1.0,1.0,0.0,,5.0,Yes,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,
89-36-17-01,641b86d91e094e43a9111cbe82c9859f,West Pokot,29.0,31.0,29.0,31.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,EIA licence cost is based on project bills of Quantities ( BQ),5.0,Yes,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,
85-43-34-76,56a8d6ff990c43beaf4aeeeb4940144d,Kilifi,0.0,83.0,0.0,72.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,14.0,Yes,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
