date,price,observations,year,month,quarter,day_of_year,month_sin,month_cos,price_lag_1m,price_lag_3m,price_lag_6m,price_lag_12m,price_rolling_mean_3m,price_rolling_std_3m,price_rolling_mean_6m,price_rolling_std_6m,price_rolling_mean_12m,price_rolling_std_12m,inflation_mom,inflation_yoy,season,season_harvest_long,season_harvest_short,season_lean,season_normal
2006-01-01,23.5,4,2006,1,1,1,0.49999999999999994,0.8660254037844387,,,,,,,,,,,,,lean,False,False,True,False
2006-02-01,24.25,4,2006,2,1,32,0.8660254037844386,0.5000000000000001,23.5,,,,,,,,,,3.1914893617021276,,lean,False,False,True,False
2006-03-01,23.5,4,2006,3,1,60,1.0,6.123233995736766e-17,24.25,,,,23.75,0.4330127018922193,,,,,-3.0927835051546393,,lean,False,False,True,False
2006-04-01,25.25,4,2006,4,2,91,0.8660254037844387,-0.4999999999999998,23.5,23.5,,,24.333333333333332,0.8779711460710621,,,,,7.446808510638298,,harvest_long,True,False,False,False
2006-05-01,23.75,4,2006,5,2,121,0.49999999999999994,-0.8660254037844387,25.25,24.25,,,24.166666666666668,0.9464847243000463,,,,,-5.9405940594059405,,harvest_long,True,False,False,False
2006-06-01,22.75,4,2006,6,2,152,1.2246467991473532e-16,-1.0,23.75,23.5,,,23.916666666666668,1.2583057392117922,23.833333333333332,0.8465616732800201,,,-4.2105263157894735,,normal,False,False,False,True
2006-07-01,23.0,4,2006,7,3,182,-0.4999999999999997,-0.8660254037844388,22.75,25.25,23.5,,23.166666666666668,0.5204164998665362,23.75,0.9082951062292479,,,1.098901098901099,,normal,False,False,False,True
2006-08-01,23.25,4,2006,8,3,213,-0.8660254037844385,-0.5000000000000004,23.0,23.75,24.25,,23.0,0.2500000000000071,23.583333333333332,0.8897565210026095,,,1.0869565217391304,,normal,False,False,False,True
2006-09-01,22.5,4,2006,9,3,244,-1.0,-1.8369701987210297e-16,23.25,22.75,23.5,,22.916666666666668,0.3818813079129918,23.416666666666668,0.9958246164193102,,,-3.225806451612903,,normal,False,False,False,True
2006-10-01,23.25,4,2006,10,4,274,-0.8660254037844386,0.5000000000000001,22.5,23.0,25.25,,23.0,0.43301270189222396,23.083333333333332,0.43779751788545385,,,3.3333333333333335,,harvest_short,False,True,False,False
2006-11-01,24.5,4,2006,11,4,305,-0.5000000000000004,0.8660254037844384,23.25,23.25,23.75,,23.416666666666668,1.0103629710818467,23.208333333333332,0.6967184988692812,,,5.376344086021505,,harvest_short,False,True,False,False
2006-12-01,24.0,4,2006,12,4,335,-2.4492935982947064e-16,1.0,24.5,22.5,22.75,,23.916666666666668,0.6291528696058976,23.416666666666668,0.71879528842826,23.625,0.779714399927657,-2.0408163265306123,,normal,False,False,False,True
2007-01-01,21.0,4,2007,1,1,1,0.49999999999999994,0.8660254037844387,24.0,23.25,23.0,23.5,23.166666666666668,1.892969448600092,23.083333333333332,1.2315302134607427,23.416666666666668,1.0888553901258247,-12.5,-10.638297872340425,lean,False,False,True,False
2007-02-01,21.5,4,2007,2,1,32,0.8660254037844386,0.5000000000000001,21.0,24.5,23.25,24.25,22.166666666666668,1.6072751268321608,22.791666666666668,1.382178232597612,23.1875,1.1828557508304762,2.380952380952381,-11.34020618556701,lean,False,False,True,False
2007-03-01,18.5,4,2007,3,1,60,1.0,6.123233995736766e-17,21.5,24.0,22.5,23.5,20.333333333333332,1.6072751268321608,22.125,2.2458294681475675,22.770833333333332,1.788404359062893,-13.953488372093023,-21.27659574468085,lean,False,False,True,False
2007-04-01,19.25,4,2007,4,2,91,0.8660254037844387,-0.4999999999999998,18.5,21.0,23.25,25.25,19.75,1.561249499599601,21.458333333333332,2.431134851600512,22.270833333333332,1.8691828955374337,4.054054054054054,-23.762376237623762,harvest_long,True,False,False,False
