date,commodity,region,market,price_mean,price_std,obs_count,market_id,currency
2006-01-01,Beans (dry) - Retail,Eastern,Kitui,39.0,,1,187,KES
2006-01-01,Beans - Wholesale,Coast,Mombasa,33.63,,1,191,KES
2006-01-01,Beans - Wholesale,Nairobi,Nairobi,42.311,,1,184,KES
2006-01-01,Beans - Wholesale,Nyanza,Kisumu,39.608,,1,186,KES
2006-01-01,Beans - Wholesale,Rift Valley,Eldoret town,45.854,,1,185,KES
2006-01-01,Maize (white) - Retail,Eastern,Kitui,17.0,,1,187,KES
2006-01-01,Maize (white) - Retail,Eastern,Marsabit,21.0,,1,190,KES
2006-01-01,Maize (white) - Retail,North Eastern,Mandera,30.0,,1,189,KES
2006-01-01,Maize (white) - Retail,Rift Valley,Lodwar (Turkana),26.0,,1,188,KES
2006-01-01,Maize - Wholesale,Coast,Mombasa,16.131,,1,191,KES
2006-01-01,Maize - Wholesale,Nairobi,Nairobi,15.483,,1,184,KES
2006-01-01,Maize - Wholesale,Nyanza,Kisumu,14.835,,1,186,KES
2006-01-01,Maize - Wholesale,Rift Valley,Eldoret town,12.963,,1,185,KES
2006-01-01,"Milk (cow, pasteurized) - Retail",Nairobi,Nairobi,22.0,,1,184,KES
2006-01-01,Oil (vegetable) - Retail,Nairobi,Nairobi,115.0,,1,184,KES
2006-02-01,Beans (dry) - Retail,Eastern,Kitui,42.0,,1,187,KES
2006-02-01,Beans - Wholesale,Coast,Mombasa,39.478,,1,191,KES
2006-02-01,Beans - Wholesale,Nairobi,Nairobi,47.1,,1,184,KES
2006-02-01,Beans - Wholesale,Nyanza,Kisumu,42.794,,1,186,KES
2006-02-01,Beans - Wholesale,Rift Valley,Eldoret town,44.02,,1,185,KES
2006-02-01,Maize (white) - Retail,Eastern,Kitui,18.0,,1,187,KES
2006-02-01,Maize (white) - Retail,Eastern,Marsabit,22.0,,1,190,KES
2006-02-01,Maize (white) - Retail,North Eastern,Mandera,29.0,,1,189,KES
2006-02-01,Maize (white) - Retail,Rift Valley,Lodwar (Turkana),28.0,,1,188,KES
2006-02-01,Maize - Wholesale,Coast,Mombasa,16.405,,1,191,KES
2006-02-01,Maize - Wholesale,Nairobi,Nairobi,16.405,,1,184,KES
2006-02-01,Maize - Wholesale,Nyanza,Kisumu,17.831,,1,186,KES
2006-02-01,Maize - Wholesale,Rift Valley,Eldoret town,13.124,,1,185,KES
2006-02-01,"Milk (cow, pasteurized) - Retail",Nairobi,Nairobi,25.0,,1,184,KES
2006-02-01,Oil (vegetable) - Retail,Nairobi,Nairobi,120.0,,1,184,KES
2006-03-01,Beans (dry) - Retail,Eastern,Kitui,47.0,,1,187,KES
2006-03-01,Beans - Wholesale,Coast,Mombasa,44.686,,1,191,KES
2006-03-01,Beans - Wholesale,Nairobi,Nairobi,42.311,,1,184,KES
2006-03-01,Beans - Wholesale,Nyanza,Kisumu,54.522,,1,186,KES
2006-03-01,Beans - Wholesale,Rift Valley,Eldoret town,50.541,,1,185,KES
2006-03-01,Maize (white) - Retail,Eastern,Kitui,18.0,,1,187,KES
2006-03-01,Maize (white) - Retail,Eastern,Marsabit,22.0,,1,190,KES
2006-03-01,Maize (white) - Retail,North Eastern,Mandera,27.0,,1,189,KES
2006-03-01,Maize (white) - Retail,Rift Valley,Lodwar (Turkana),27.0,,1,188,KES
2006-03-01,Maize - Wholesale,Coast,Mombasa,16.982,,1,191,KES
2006-03-01,Maize - Wholesale,Nairobi,Nairobi,16.91,,1,184,KES
