interview__key,interview__id,est_code,county_name,se1,se1i,housing_loans__id,se3b,se3c,se3d
45-57-30-89,be42c5fe63e44c93b3cf507b5ca3d1db,102.0,Bomet,SACCOs,,Land Acquisition/Purchase,8.0,6764100.0,0.0
37-66-59-89,5a8960d4edbf4d6da3b7c21b17d18023,136.0,Nairobi City,SACCOs,,Land Acquisition/Purchase,2.0,7900000.0,0.0
01-51-65-67,14106b879dd24fa1a5046dcae9ba8ac7,120.0,Kisii,SACCOs,,Land Acquisition/Purchase,700.0,120000000.0,40000000.0
07-17-38-46,5d950ffa6c144ea0b8a0fd6e9a77daee,59.0,Kiambu,SACCOs,,Land Acquisition/Purchase,,55618095.0,680828.0
00-16-23-17,32f1d2998407444192de9bf67fd7fd47,11.0,Embu,SACCOs,,Land Acquisition/Purchase,1045.0,749573984.0,1170637.45
37-95-52-99,48ef07335fae4e24a9c123f637ce4ad9,144.0,NAIROBI CITY,Microfinance Bank(MFB),,Land Acquisition/Purchase,,,0.0
28-58-37-25,1f150039c3594ea48437ffe571942a04,29.0,Mombasa,SACCOs,,Land Acquisition/Purchase,164.0,592194000.0,14128000.0
38-92-08-90,fa0f9d3e70dc400ba00bae74bf8c3546,5.0,Tharaka-Nithi,SACCOs,,Land Acquisition/Purchase,,,
78-48-90-83,43e9f36e4a42477caba7e5d2db06c160,213.0,Nairobi City,SACCOs,,Land Acquisition/Purchase,115.0,166331173.0,0.0
40-02-85-03,fc766d3f41c44a1284ae54fb61937d2f,13.0,Kitui,SACCOs,,Land Acquisition/Purchase,38.0,13168174.11,4490000.0
40-90-76-20,18b9a233dea4464ab51ecb9b5c83ba62,30.0,Mombasa,SACCOs,,Land Acquisition/Purchase,30.0,1558500.0,80000.0
96-26-25-84,1224c40b77104f72ae391201178bfb6a,74.0,Elgeyo Marakwet,SACCOs,,Land Acquisition/Purchase,240.0,20810600.0,0.0
