interview__key,interview__id,est_code,county_name,se1,se1i,mortgage_fees__id,se6b,mean_se6b,proportion_mortgage_products__id,se8a,demand_for_mortgage__id,se9b
00-16-23-17,32f1d2998407444192de9bf67fd7fd47,22.0,Embu,SACCOs,,,,,Fixed rate,,,
00-16-23-17,32f1d2998407444192de9bf67fd7fd47,22.0,Embu,SACCOs,,,,,Other,,,
00-16-23-17,32f1d2998407444192de9bf67fd7fd47,22.0,Embu,SACCOs,,,,,Variable Rate,,,
00-16-23-17,32f1d2998407444192de9bf67fd7fd47,22.0,Embu,SACCOs,,,,,Short term fixed then variable,,,
00-51-35-11,09868ff2b0804acea151e528bf4acd26,24.0,Kitui,,,,,,Fixed rate,,,
00-51-35-11,09868ff2b0804acea151e528bf4acd26,24.0,Kitui,,,,,,Variable Rate,,,
00-51-35-11,09868ff2b0804acea151e528bf4acd26,24.0,Kitui,,,,,,Short term fixed then variable,,,
00-51-35-11,09868ff2b0804acea151e528bf4acd26,24.0,Kitui,,,,,,Other,,,
01-40-99-54,07ddb74d52b0443c815ccd0c828a79b3,178.0,NAIROBI CITY,Commercial Bank,,Valuation fees,4.0,1.7443243,Other,,,
01-40-99-54,07ddb74d52b0443c815ccd0c828a79b3,178.0,NAIROBI CITY,Commercial Bank,,Valuation fees,4.0,1.7443243,Fixed rate,100.0,,
01-40-99-54,07ddb74d52b0443c815ccd0c828a79b3,178.0,NAIROBI CITY,Commercial Bank,,Valuation fees,4.0,1.7443243,Variable Rate,,,
01-40-99-54,07ddb74d52b0443c815ccd0c828a79b3,178.0,NAIROBI CITY,Commercial Bank,,Valuation fees,4.0,1.7443243,Short term fixed then variable,,,
01-45-93-89,ce29d62134d54da2b97abdafdb79fe78,131.0,Kajiado,,,,,,Short term fixed then variable,,,
01-45-93-89,ce29d62134d54da2b97abdafdb79fe78,131.0,Kajiado,,,,,,Fixed rate,,,
01-45-93-89,ce29d62134d54da2b97abdafdb79fe78,131.0,Kajiado,,,,,,Variable Rate,,,
01-45-93-89,ce29d62134d54da2b97abdafdb79fe78,131.0,Kajiado,,,,,,Other,,,
01-51-65-67,14106b879dd24fa1a5046dcae9ba8ac7,160.0,Kisii,SACCOs,,,,,Fixed rate,18.0,,
01-51-65-67,14106b879dd24fa1a5046dcae9ba8ac7,160.0,Kisii,SACCOs,,,,,Other,,,
01-51-65-67,14106b879dd24fa1a5046dcae9ba8ac7,160.0,Kisii,SACCOs,,,,,Variable Rate,,,
01-51-65-67,14106b879dd24fa1a5046dcae9ba8ac7,160.0,Kisii,SACCOs,,,,,Short term fixed then variable,,,
01-67-89-83,dedd34f2eab447f3afa7a088b4b48363,45.0,Mombasa,SACCOs,,,,,Other,,,
01-67-89-83,dedd34f2eab447f3afa7a088b4b48363,45.0,Mombasa,SACCOs,,,,,Fixed rate,,,
01-67-89-83,dedd34f2eab447f3afa7a088b4b48363,45.0,Mombasa,SACCOs,,,,,Short term fixed then variable,,,
01-67-89-83,dedd34f2eab447f3afa7a088b4b48363,45.0,Mombasa,SACCOs,,,,,Variable Rate,,,
01-73-16-86,dbc0a6ba749d4210b3afd2691cd4c14e,321.0,Nairobi City,SACCOs,,,,,Fixed rate,100.0,,
01-73-16-86,dbc0a6ba749d4210b3afd2691cd4c14e,321.0,Nairobi City,SACCOs,,,,,Short term fixed then variable,,,
01-73-16-86,dbc0a6ba749d4210b3afd2691cd4c14e,321.0,Nairobi City,SACCOs,,,,,Variable Rate,,,
01-73-16-86,dbc0a6ba749d4210b3afd2691cd4c14e,321.0,Nairobi City,SACCOs,,,,,Other,,,
01-77-54-28,2066d037374243e3b9084d8dc0937c14,200.0,NAIROBI CITY,Commercial Bank,,Stamp duty,0.35,2.3883333,Fixed rate,,Women,Medium
01-77-54-28,2066d037374243e3b9084d8dc0937c14,200.0,NAIROBI CITY,Commercial Bank,,Stamp duty,0.35,2.3883333,Short term fixed then variable,,Sharia compliant,Low
01-77-54-28,2066d037374243e3b9084d8dc0937c14,200.0,NAIROBI CITY,Commercial Bank,,Stamp duty,0.35,2.3883333,Other,,PWDs,Low
01-77-54-28,2066d037374243e3b9084d8dc0937c14,200.0,NAIROBI CITY,Commercial Bank,,Stamp duty,0.35,2.3883333,Variable Rate,100.0,Multi−generational Lending,Medium
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Other Specify,3.0,1.57,Short term fixed then variable,,Women,Low
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Valuation fees,3.0,1.7443243,Short term fixed then variable,,Sharia compliant,Medium
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Building lnsurance,3.0,1.6828572,Fixed rate,25.0,Sharia compliant,Medium
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Stamp duty,3.0,2.3883333,Variable Rate,75.0,Sharia compliant,Medium
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Conveyancing (legal) fees,3.0,2.081818,Other,,Sharia compliant,Medium
01-83-49-21,71ef94ac10b2447c8d65b2702910bf2d,375.0,NAIROBI CITY,Commercial Bank,,Mortgage insurance,3.0,1.8982353,Short term fixed then variable,,Sharia compliant,Medium
01-92-42-98,d6382e5dfa1e4036b141e0998e0eff03,143.0,Kakamega,SACCOs,,,,,Fixed rate,79.2,,
01-92-42-98,d6382e5dfa1e4036b141e0998e0eff03,143.0,Kakamega,SACCOs,,,,,Short term fixed then variable,,,
