developer,activity,interview__key,interview__id,est_code,county_name,identifier_activity__1,identifier_activity__2,identifier_activity__3,b2_1__0,b2_1__0c,b2_1__1,b2_1__1c,b2_1__2,b2_1__2c,b2_1__3,b2_1__3c,b2_1__4,b2_1__4c,b2_1__5,b2_1__5c,b2_1__6,b2_1__6c,b2_1__7,b2_1__7c,b2_1__8,b2_1__8c,b2_1__9,b2_1__9c,b2_1b,b2_3,b2_4a,b2_4b,b2_5a,b2_5b,b2_6_1a,b2_6_1b,b2_6_2a,b2_6_2b,b2_7,b2_8__1,b2_8__2,b2_8__3,b2_8__4,b2_8__5,b2_8__6,b2_8__96,b2_8i,b2_9,b2_9i,b2_10b_1a,b2_10b_1b,b2_10b_1c,b2_10b_2a,b2_10b_2b,b2_10b_2c,b2_10b_3a,b2_10b_3b,b2_10b_3c,b2_11__1,b2_11__2,b2_11__3,b2_11__4,b2_11__96,b2_11i,b2_12a,b2_12b,b2_12c,b2_13a,b2_13b,b2_13c,b2_14a,b2_14b,b2_14c,b2_15a,b2_15b,b2_15c,b2_16__1,b2_16__2,b2_16__3,b2_16__4,b2_16__5,b2_16__6,b2_16__7,b2_16__8,b2_16__9,b2_16__10,b2_16__11,b2_16__12,b2_17a,b2_17b,b2_17c,b2_17d,b2_17e,b2_17f,b2_17g,b2_17h,b2_17i,b2_17j,b2_17k,b2_18a,b2_18b,b2_18c,b2_18ci,b2_19a,b2_19b,b2_19c,b2_19ci,b2_20__1,b2_20__2,b2_20__3,b2_20__4,c3_0,d4_1,d4_2__1,d4_2__2,d4_2__3,d4_2__4,d4_2__5,d4_2__6,d4_2__7,d4_2__9,d4_2__10,d4_2__11,d4_2__12,d4_2__13,d4_2__96,d4_3,e5_1a__0,e5_1a__0c,e5_1a__1,e5_1a__1c,e5_1a__2,e5_1a__2c,e5_1a__3,e5_1a__3c,e5_1a__4,e5_1a__4c,e5_1a__5,e5_1a__5c,e5_1a__6,e5_1a__6c,e5_1a__7,e5_1a__7c,e5_1a__8,e5_1a__8c,e5_1a__9,e5_1a__9c,e5_1b,e5_3,e5_4a,e5_4b,e5_5a,e5_5b,e5_6_1a,e5_6_1b,e5_6_2a,e5_6_2b,e5_7,e5_8__1,e5_8__2,e5_8__3,e5_8__96,e5_8i,e5_9,e5_9i,e5_10,e5_11__1,e5_11__2,e5_11__3,e5_11__4,e5_11__5,e5_11__6,e5_11__7,e5_11__96,e5_12,e5_13__1,e5_13__2,e5_14__1,e5_14__2,e5_15__1,e5_15__2,e5_15__3,e5_15__4,re1__1,re1__2,re1__3,re1__4,re1__5,resonly,commonly,both,unique,bothonly
,0.0,81-23-47-36,c4d68ab996714e7a8504db24493af98b,183.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office space renting,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,25800000.0,Private Business,Local Private Limited Company,,1.0,1.0,0.0,0.0,100.0,0.0,1987.0,0.0,0.0,0.0,0.0,,Unnecessary,,No,,,,,,,,,Yes,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
,0.0,90-75-12-05,3238fd0f155941e494eaadfcfd275106,260.0,Nairobi City,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,91-44-65-16,5afb0fa776634968998f1921ac903ab4,295.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selling and leasing residential units,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,6000000.0,Private Business,Sole Proprietorship,Male,,,0.0,0.0,100.0,0.0,2018.0,1.0,0.0,0.0,0.0,,,,No,,,,,,,,,No,,,,,1.0,1.0,0.0,0.0,,,,,,,,,,
,0.0,56-19-69-50,b75e93ffeaec41c5be66d43d16759500,112.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Property Management,100%",1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,110000000.0,Private Business,Local Private Limited Company,,0.0,2.0,0.0,0.0,100.0,0.0,1980.0,0.0,0.0,0.0,0.0,,Unnecessary,,No,,,,,,,,,Yes,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,
,0.0,95-82-93-41,dc8a4c71527848cf9978bd7cf68ff05d,283.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Property Management - rent collection of commercial and residential properties,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,,Private Business,Local Private Limited Company,,3.0,0.0,0.0,0.0,100.0,0.0,1996.0,1.0,0.0,0.0,0.0,,,,No,,,,,,,,,No,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,
,0.0,76-60-65-95,0f3feb7c4ab54b94b4ba4bf3c994acac,243.0,Nairobi City,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0,77-06-19-34,b52d38abbb3146938aeb1d402afefba2,315.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real estate management of kuguru complex,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,100.0,Private Business,Local Private Limited Company,,1.0,0.0,0.0,0.0,100.0,0.0,2017.0,1.0,0.0,0.0,0.0,,,,No,,,,,,,,,Yes,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,
,0.0,42-56-02-16,68a8461d71c6486d8620945cc686f5fd,328.0,Nairobi City,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Estate Management,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,64173533.0,Private Business,Local Private Limited Company,,10.0,2.0,0.0,0.0,100.0,0.0,1955.0,0.0,0.0,0.0,0.0,,Expensive,,No,,,,,,,,,Yes,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
,0.0,21-07-92-67,849a9518936342a0a666534b744d047c,43.0,Nakuru,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Management of Residential and management of commercial properties,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,7401432.0,Private Business,Local Private Limited Company,,5.0,2.0,0.0,0.0,99.0,0.0,2017.0,1.0,0.0,0.0,0.0,,,,No,,,,,,,,,No,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,
,0.0,99-73-58-22,e48a28b7c9354d88b76e70ecb84fd503,9.0,Nyeri,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manages Society's Buildings,1.0,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,##N/A##,,24876680.0,Cooperative,Local Public Limited  Company,,9.0,2.0,100.0,0.0,0.0,0.0,1965.0,0.0,0.0,0.0,1.0,COOPERATIVE ACT,Not eligible,,No,,,,,,,,,Yes,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
