date,admin1,market,commodity,unit,price,currency,source
2020-01-01,Kenya,Nairobi,Maize (white),KG,49.57,KES,Sample Data
2020-01-01,Kenya,Mombasa,Maize (white),KG,48.01,KES,Sample Data
2020-01-01,Kenya,Kisumu,Maize (white),KG,46.05,KES,Sample Data
2020-01-01,Kenya,Nakuru,Maize (white),KG,49.14,KES,Sample Data
2020-01-01,Kenya,Eldoret,Maize (white),KG,48.5,KES,Sample Data
2020-01-01,Kenya,Nairobi,Rice,KG,132.2,KES,Sample Data
2020-01-01,Kenya,Mombasa,Rice,KG,123.21,KES,Sample Data
2020-01-01,Kenya,Kisumu,Rice,KG,123.1,KES,Sample Data
2020-01-01,Kenya,Nakuru,Rice,KG,127.09,KES,Sample Data
2020-01-01,Kenya,Eldoret,Rice,KG,124.3,KES,Sample Data
2020-01-01,Kenya,Nairobi,Wheat flour,KG,56.1,KES,Sample Data
2020-01-01,Kenya,Mombasa,Wheat flour,KG,57.39,KES,Sample Data
2020-01-01,Kenya,Kisumu,Wheat flour,KG,59.69,KES,Sample Data
2020-01-01,Kenya,Nakuru,Wheat flour,KG,58.19,KES,Sample Data
2020-01-01,Kenya,Eldoret,Wheat flour,KG,55.58,KES,Sample Data
2020-01-01,Kenya,Nairobi,Beans (dry),KG,112.55,KES,Sample Data
2020-01-01,Kenya,Mombasa,Beans (dry),KG,120.99,KES,Sample Data
2020-01-01,Kenya,Kisumu,Beans (dry),KG,119.81,KES,Sample Data
2020-01-01,Kenya,Nakuru,Beans (dry),KG,111.87,KES,Sample Data
2020-01-01,Kenya,Eldoret,Beans (dry),KG,115.56,KES,Sample Data
2020-01-01,Kenya,Nairobi,Sugar,KG,137.31,KES,Sample Data
2020-01-01,Kenya,Mombasa,Sugar,KG,142.47,KES,Sample Data
2020-01-01,Kenya,Kisumu,Sugar,KG,139.44,KES,Sample Data
2020-01-01,Kenya,Nakuru,Sugar,KG,137.62,KES,Sample Data
2020-01-01,Kenya,Eldoret,Sugar,KG,133.22,KES,Sample Data
2020-01-01,Kenya,Nairobi,Cooking oil (vegetable),L,303.99,KES,Sample Data
2020-01-01,Kenya,Mombasa,Cooking oil (vegetable),L,307.48,KES,Sample Data
2020-01-01,Kenya,Kisumu,Cooking oil (vegetable),L,307.87,KES,Sample Data
2020-01-01,Kenya,Nakuru,Cooking oil (vegetable),L,287.65,KES,Sample Data
2020-01-01,Kenya,Eldoret,Cooking oil (vegetable),L,291.17,KES,Sample Data
2020-01-01,Kenya,Nairobi,Milk (fresh),L,62.03,KES,Sample Data
2020-01-01,Kenya,Mombasa,Milk (fresh),L,62.51,KES,Sample Data
2020-01-01,Kenya,Kisumu,Milk (fresh),L,63.65,KES,Sample Data
2020-01-01,Kenya,Nakuru,Milk (fresh),L,65.16,KES,Sample Data
2020-01-01,Kenya,Eldoret,Milk (fresh),L,66.22,KES,Sample Data
2020-01-01,Kenya,Nairobi,Eggs,Piece,15.38,KES,Sample Data
2020-01-01,Kenya,Mombasa,Eggs,Piece,16.3,KES,Sample Data
2020-01-01,Kenya,Kisumu,Eggs,Piece,16.2,KES,Sample Data
2020-01-01,Kenya,Nakuru,Eggs,Piece,15.19,KES,Sample Data
2020-01-01,Kenya,Eldoret,Eggs,Piece,15.28,KES,Sample Data
2020-02-01,Kenya,Nairobi,Maize (white),KG,50.08,KES,Sample Data
2020-02-01,Kenya,Mombasa,Maize (white),KG,47.54,KES,Sample Data
2020-02-01,Kenya,Kisumu,Maize (white),KG,48.72,KES,Sample Data
2020-02-01,Kenya,Nakuru,Maize (white),KG,50.14,KES,Sample Data
2020-02-01,Kenya,Eldoret,Maize (white),KG,49.37,KES,Sample Data
2020-02-01,Kenya,Nairobi,Rice,KG,134.49,KES,Sample Data
2020-02-01,Kenya,Mombasa,Rice,KG,132.76,KES,Sample Data
2020-02-01,Kenya,Kisumu,Rice,KG,131.91,KES,Sample Data
2020-02-01,Kenya,Nakuru,Rice,KG,131.11,KES,Sample Data
2020-02-01,Kenya,Eldoret,Rice,KG,127.45,KES,Sample Data
2020-02-01,Kenya,Nairobi,Wheat flour,KG,61.22,KES,Sample Data
2020-02-01,Kenya,Mombasa,Wheat flour,KG,60.54,KES,Sample Data
2020-02-01,Kenya,Kisumu,Wheat flour,KG,59.04,KES,Sample Data
2020-02-01,Kenya,Nakuru,Wheat flour,KG,61.91,KES,Sample Data
2020-02-01,Kenya,Eldoret,Wheat flour,KG,58.2,KES,Sample Data
2020-02-01,Kenya,Nairobi,Beans (dry),KG,117.3,KES,Sample Data
2020-02-01,Kenya,Mombasa,Beans (dry),KG,124.58,KES,Sample Data
2020-02-01,Kenya,Kisumu,Beans (dry),KG,125.19,KES,Sample Data
2020-02-01,Kenya,Nakuru,Beans (dry),KG,117.39,KES,Sample Data
2020-02-01,Kenya,Eldoret,Beans (dry),KG,121.45,KES,Sample Data
2020-02-01,Kenya,Nairobi,Sugar,KG,148.37,KES,Sample Data
2020-02-01,Kenya,Mombasa,Sugar,KG,137.95,KES,Sample Data
2020-02-01,Kenya,Kisumu,Sugar,KG,142.06,KES,Sample Data
2020-02-01,Kenya,Nakuru,Sugar,KG,147.89,KES,Sample Data
2020-02-01,Kenya,Eldoret,Sugar,KG,143.13,KES,Sample Data
